surah_no,ayah_no,text
16,100,16:98
16,101,"يذكُر تعالى أنَّ المكذِّبين بهذا القرآن يتتبَّعون ما يَرَوْنَه حجَّة لهم، وهو أنَّ الله تعالى هو الحاكم الحكيم، الذي يَشْرَع الأحكام ويبدِّل حكماً مكان آخر؛ لحكمته ورحمته؛ فإذا رأوه كذلك؛ قدحوا في الرسول وبما جاء به، و {قالوا إنما أنت مُفۡتَرٍ}، قال الله تعالى:{بل أكثُرهم لا يعلمونَ}: فهم جهالٌ، لا علم لهم بربِّهم ولا بشرعِهِ، ومن المعلوم أن قدح الجاهل بلا علم لا عبرةَ به؛ فإنَّ القدح في الشيء فرعٌ عن العلم به وما يشتمل عليه مما يوجب المدح والقدح."
16,102,"ولهذا ذكر تعالى حكمته في ذلك، فقال:{قل نَزَّلَه رُوحُ القُدُس}: وهو جبريلُ الرسول المقدَّس المنزَّه عن كلِّ عيب وخيانةٍ وآفةٍ، {بالحقِّ}؛ أي: نزوله بالحقِّ، وهو مشتملٌ على الحقِّ في أخباره وأوامره ونواهيه؛ فلا سبيل لأحدٍ أن يَقْدَحَ فيه قدحاً صحيحاً؛ لأنَّه إذا عُلِمَ أنَّه الحقُّ؛ عُلِمَ أنَّ ما عارَضَه وناقَضَه باطلٌ. {ليثبِّتَ الذين آمنوا}: عند نزول آياتِهِ وتوارُدِها عليهم وقتاً بعد وقتٍ؛ فلا يزال الحقُّ يصلُ إلى قلوبهم شيئاً فشيئاً، حتى يكون إيمانهم أثبتَ من الجبال الرواسي. وأيضاً؛ فإنَّهم يعلمون أنَّه الحقُّ، وإذا شرع حكماً من الأحكام، ثم نَسَخَه؛ علموا أنه أبدله بما هو مثلُه أو خيرٌ منه لهم، وأنَّ نسخَه هو المناسب للحكمة الربانيَّة والمناسبة العقليَّة. {وهدىً وبشرى للمسلمين}؛ أي: يهديهم إلى حقائق الأشياء، ويبيِّن لهم الحقَّ من الباطل والهدى من الضَّلال، ويبشِّرهم أنَّ لهم أجراً حسناً ماكثين فيه أبداً. وأيضاً؛ فإنه كلَّما نزل شيئاً فشيئاً؛ كان أعظم هدايةً وبشارةً لهم مِنْ لو أتاهم جملةً واحدةً وتفرَّق الفكرُ فيه، بل يُنْزِلُ الله حكماً وتارة أكثر؛ فإذا فهِموه وعَقَلوه وعَرَفوا المراد منه وتروَّوْا منه؛ أنزل نظيره ... وهكذا. ولذلك بلغ الصحابة رضي الله عنهم به مبلغاً عظيماً، وتغيَّرت أخلاقهم وطبائعهم، وانتقلوا إلى أخلاق وعوائد وأعمال فاقوا بها الأوَّلين والآخرين، وكان أعلى وأولى لمن بعدَهم أن يتربَّوا بعلومه، ويتخلَّقوا بأخلاقه، ويستضيئوا بنورِهِ في ظُلمات الغيِّ والجهالات، ويجعلوه إمامهم في جميع الحالات. فبذلك تستقيم أمورهم الدينيَّة والدنيويَّة."
16,103,"يخبر تعالى عن قِيل المشركين المكذِّبين لرسوله: {أنَّهم يقولونَ إنَّما يعلِّمُه}: هذا الكتاب الذي جاء به، {بَشَرٌ}: وذلك البشرُ الذي يشيرون إليه أعجميُّ اللسان. {وهذا}: القرآن {لسانٌ عربيٌّ مبينٌ}: هل هذا القول ممكنٌ أو له حظٌّ من الاحتمال؟! ولكن الكاذب يكذِبُ ولا يفكِّر فيما يؤول إليه كذبه، فيكون في قوله من التناقض والفساد ما يوجب ردَّه بمجرَّد تصوُّره."
16,104,"{إنَّ الذين لا يؤمنون بآيات الله}: الدالَّة دلالة صريحةً على الحقِّ المبين فيردُّونها ولا يقبلونها، {لا يهديهِمُ الله}: حيث جاءهم الهدى فردُّوه فعوقِبوا بحِرْمانِهِ وخِذْلان الله لهم. {ولهم}: في الآخرة {عذابٌ أليمٌ}."
16,105,"{إنما يفتري الكذب}؛ أي: إنما يصدُرُ افتراء الكذب من {الذين لا يؤمنون بآيات الله}: كالمعاندين لرسولِهِ من بعد ما جاءتهم البيناتُ. {وأولئك هم الكاذبونَ}؛ أي: الكذب منحصرٌ فيهم، وعليهم أولى بأن يطلق من غيرهم. وأما محمدٌ - صلى الله عليه وسلم - المؤمن بآيات الله الخاضع لربِّه؛ فمُحالٌ أن يكذِبَ على الله، ويتقوَّل عليه ما لم يَقُلْ، فأعداؤه رَمَوْه بالكذب الذي هو وصفُهم، فأظهر الله خِزْيهم وبيَّن فضائحهم؛ فله تعالى الحمد."
16,106,16:109
16,107,16:109
16,108,16:109
16,109,"{لا جرم أنهم في الآخرة هم الخاسرون}: الذين خسروا أنفسهم وأموالهم وأهليهم يوم القيامة، وفاتهم النعيمُ المقيمُ، وحصلوا على العذاب الأليم، وهذا بخلاف من أُكْرِه على الكفر وأُجْبِر عليه، وقلبُهُ مطمئنٌ بالإيمان راغبٌ فيه؛ فإنَّه لا حرج عليه ولا إثم، ويجوزُ له النُّطق بكلمة الكفر عند الإكراه عليها.
ودلَّ ذلك على أنَّ كلام المكره على الطلاق أو العتاق أو البيع أو الشراء أو سائر العقود أنَّه لا عبرةَ به ولا يترتَّب عليه حكمٌ شرعيٌّ؛ لأنَّه إذا لم يعاقَبْ على كلمة الكفر إذا أكره عليها؛ فغيرُها من باب أولى وأحرى."
