hadith-eng;reference;question #;question
Abu Bakr stood up and praised and glorified Allah, then he said: O people, you recite this verse: `O you who believe! Take care of your ownselves. If you follow the (right) guidance (and enjoin what is right (Islamic Monotheism and all that Islam orders one to do) and forbid what is wrong (polytheism, disbelief and all that Islam has forbidden)] no hurt can come to you from those who are in error` (al-Ma'idah 5:105]. We heard the Messenger of Allah (ﷺ) say: `lf the people see evil and do not change it, soon Allah will send His punishment upon them all.`;Musnad Ahmad 1, Book 1, Hadith 1;question #1;What is the responsibility of believers when they witness evil or wrongdoing in their society?
"If I heard a hadeeth from the Messenger of Allah (ﷺ) Allah benefitted me as He willed thereby. If someone else told me something from him I would ask him to swear, and if he swore I would believe him. Abu Bakr told me - and Abu Bakr told the truth - that he heard the Prophet (ﷺ) say: `There is no man who commits a sin, then does wudoo' and does it well - Mis'ar said: and prays; Sufyan said: then prays - two rak'ahs and asks Allah, may He be glorified and exalted, for forgiveness but He will forgive him.`";Musnad Ahmad 2, Book 1, Hadith 2;question #1;What is the significance of seeking forgiveness through prayer after committing a sin?
"Abu Bakr bought a saddle from ‘Azib for thirteen dirhams, then Abu Bakr said to 'Azib. Tell al-Bara to carry it to my house. He said: No, not until you tell us what happened when the Messenger of Allah (ﷺ) went out and you were with him. Abu Bakr said: We started our journey at the beginning of the night and we hastened for one day and one night, until it was midday. I looked into the distance to see whether there was anywhere to seek shade, and I saw a rock, so I went to it and it had a little shade. I smoothed the ground for the Messenger of Allah (ﷺ) and spread a garment of camel hair for him, and said: Lie down and rest, O Messenger of Allah. So he lay down, and I went out to see if I could spot anyone looking for us. Then I saw a shepherd and I said: Who do you belong to, O boy? He said: To a man of Quraish. He mentioned his name and I recognised it. I said: Is there any milk in your sheep? He said: Yes | said: Will you milk some for me? He said: Yes. I told him to do that, so he caught a sheep, then I told him to brush the dust from its teat, then to brush the dust off his hands. I had a small vessel with me on the neck of which was a cloth. He milked a little bit of milk for me and I poured it into the vessel until it cooled down. Then I came to the Messenger of Allah (ﷺ). When I reached him, he had already woken up. I said: Drink, O Messenger of Allah. He drank until I was pleased, then I said: Is it time to move on? So we moved on and the people were coming after us but none of them caught up with us except Suraqah bin Malik bin Ju'shum, who was riding a horse of his, I said: O Messenger of Allah, someone has caught up with us. He said: `Do not be afraid, for Allah is with us.` When he got close to us, and there was no more between us and him then the length of a spear or two or three spears, I said: O Messenger of Allah, this pursuer has caught up with us, and I wept. He said: `Why are you weeping?` I said: I am not weeping for myself; rather I am weeping for you. The Messenger of Allah (ﷺ) prayed against him [the pursuer] and said: “O Allah, protect us from him by whatever means You will.” Then his horse's legs sank into the solid ground up to its belly, and he fell off it. He said: O Muhammad, I know that this is because of you; pray to Allah to save me from my predicament, and by Allah I shall divert away from you any one who is behind me of those who are seeking you. Here is my quiver, take one arrow. You are going to pass by some camels and sheep of mine in such and such a place, take whatever you need from thern. The Messenger of Allah (ﷺ) said: `I have no need of it.“ The Messenger of Allah (ﷺ) prayed for him and he was released, and he went back to his companions. The Messenger of Allah (ﷺ) and I continued on our way until we came to Madinah, where the people met him. They came out on the road and on the roofs, and a lot of servants and children crowded the road saying: Allahu Akbar, the Messenger of Allah (ﷺ) has come, Muhammad has come. The people disputed as to who he would stay with. The Messenger of Allah (ﷺ) said: `Tonight I will stay with Banun-Najjar, the maternal uncles of 'Abdul-Muttalib, to honour them thereby.” The next morning, he went where he was instructed. Al-Bara' bin 'Azib said: The first of the Muhajireen to come to us was Mus'ab bin 'Umair, the brother of Banu 'Abdud-Dar. Then Ibn Umm Maktoom, the blind man and brother of Banu Fihr, came to us. Then 'Umar bin al-Khattab, came to us with twenty riders and we said: What happened to the Messenger of Allah (ﷺ)? He said: He is behind me. Then the Messenger of Allah (ﷺ) came and Abu Bakr was with him. Al-Bara said: the Messenger of Allah (ﷺ) did not come until I had read some soorahs from al-Mufassal [Al-Mufassal is that portion of the Qur'an which goes from Qaf to an-Nas]. Isra'eel said: al-Bara' was one of the Ansar from Banu Harithah.";Musnad Ahmad 3, Book 1, Hadith 3;question #1;What role did Abu Bakr play during the journey with the Prophet Muhammad (ﷺ)?
"that the Prophet (ﷺ) sent him with Soorat Bara'ah (at-Taubah) to the people of Makkah, to say that no mushrik should perform Hajj after this year and no one should circumambulate the Ka'bah naked, and no one would enter Paradise except a Muslim, whoever had a covenant with the Messenger of Allah (ﷺ) for a specific time, it would last until the stated time, and Allah is free from (all) obligations to the Mushrikoon and so is His Messenger (cf. 9:3). He went around doing that for three days, then [the Prophet (ﷺ) said to ‘Ali; “Go and catch up with him; send Abu Bakr back to me and you convey it.” So he did that. And when Abu Bakr carme to the Prophet (ﷺ) , he wept and said: O Messenger of Allah, is there something the matter with me? He said: `There is nothing but good, but I was instructed that no one should convey it except me or a man from my family.”";Musnad Ahmad 4, Book 1, Hadith 4;question #1;What was the significance of the Prophet's instruction regarding who should convey the message of Soorat Bara'ah?
"Abu Bakr addressed us and said: The Messenger of Allah (ﷺ) stood last year where I am standing. Abu Bakr wept, then he said: Ask Allah to keep you safe and sound, for no one is given anything better, after certainly of faith, than well-being. And you should be truthful, for that goes with righteousness and they lead to Paradise. And beware of lying, for that goes with immorality and they lead to Hell. Do not envy one another, do not bear grudges against one another, do not sever ties with one another, do not turn away from one another; be brothers as Allah has commanded you.”";Musnad Ahmad 5, Book 1, Hadith 5;question #1;What is considered the best gift after certainty of faith according to Islamic teachings?
I heard Abu Bakr as-Siddeeq say on the minbar of the Messenger of Allah (ﷺ) : I heard the Messenger of Allah (ﷺ) say, and Abu Bakr wept when he remembered the Messenger of Allah (ﷺ) , then he recovered and said. I heard the Messenger of Allah (ﷺ) say, in this hot weather last year: `Ask Allah for forgiveness, well-being and certainty of faith in the Hereafter and in this world.”;Musnad Ahmad 6, Book 1, Hadith 6;question #1;What are the key elements that one should ask from Allah according to the teachings of the Prophet Muhammad (ﷺ)?
`The siwak is cleansing to the mouth and pleasing to the Lord`;Musnad Ahmad 7, Book 1, Hadith 7;question #1;What are the benefits of using siwak for oral hygiene?
Teach me a dua that I may say in my prayer. He said: `Say: O Allah, I have wronged myself greatly and no one forgives sins but you, grant me forgiveness from you and have mercy on me for you are the Oft Forgiving Most Merciful;Musnad Ahmad 8, Book 1, Hadith 8;question #1;What is the significance of seeking forgiveness from Allah in one's prayers?
I heard the Messenger Allah (ﷺ) say: `Our (Prophets property is not to be inherited and whatever we leave behind is charity. Rather the family of Muhammad may take their provision from these properties.” By Allah, I will not change any of the charity of the Messenger of Allah (ﷺ) from how it was at the time of the Messenger of Allah (ﷺ) and I will do the same with it as the Messenger of Allah (ﷺ) did.;Musnad Ahmad 9, Book 1, Hadith 9;question #1;What is the Islamic ruling on the inheritance of prophets' property?
I heard Abu Bakr as-Siddeeq on this minbar saying: I heard the Messenger of Allah (ﷺ) on this day last year-then Abu Bakr wept, then he said: I heard the Messenger of Allah (ﷺ) say: `You will not be given anything, after the word of sincerity (i.e., the Shahadah), like well-being, so ask Allah for well-being.”;Musnad Ahmad 10, Book 1, Hadith 10;question #1;What is the significance of the Shahadah in Islam according to the teachings of the Prophet Muhammad (ﷺ)?
"I said to the Prophet (ﷺ) when he was in the cave - on one occasion he said: when we were in the cave -: If one of them looks at his feet, he will see us beneath his feet.
He said: `O Abu Bakr, what do you think of two, of whom Allah is the third?`";Musnad Ahmad 11, Book 1, Hadith 11;question #1;What is the significance of having trust in Allah during times of fear or danger?
The Messenger of Allah (ﷺ) said: `The Dajjal will emerge from a land in the east called Khurasan and he will be followed by peoples whose faces are like hammered shields.`;Musnad Ahmad 12, Book 1, Hadith 12;question #1;Where is the Dajjal prophesied to emerge from according to Islamic teachings?
The Messenger of Allah (ﷺ) said: `No miser, cheater, traitor or person who mistreats his slaves will enter Paradise. The first to knock at the gates of Paradise will be the slaves, if they fulfil their duties towards Allah and towards their masters properly.”;Musnad Ahmad 13, Book 1, Hadith 13;question #1;What are the characteristics that prevent a person from entering Paradise according to Islamic teachings?
When the Messenger of Allah (ﷺ) died, Fatimah sent word to Abu Bakr saying: Are you the heir of the Messenger of Allah (ﷺ) or are his family? He said: No, rather his family (are his heirs). She said: Where is the share of the Messenger of Allah (ﷺ)? Abu Bakr said: I heard the Messenger of Allah (ﷺ) say: `If Allah grants some wealth to a Prophet, then takes his soul. He grants it to the one who took charge after him.` So I have decided to give the benefit of it to the Muslims. She said: That is fine, and you know best what you heard from the Messenger of Allah (ﷺ). Muhaqalah;Musnad Ahmad 14, Book 1, Hadith 14;question #1;What was Fatimah's inquiry to Abu Bakr regarding the inheritance of the Prophet's wealth?
"One day the Messenger of Allah (ﷺ) got up and prayed Fajr, then he sat until the forenoon, then the Messenger of Allah (ﷺ) smiled. Then he sat where he was until he had prayed Zuhr, 'Asr and Maghrib, and he did not speak until he had prayed 'isha'. Then he got up and went to his family. The people said to Abu Bakr: Why don't you ask the Messenger of Allah (ﷺ) what is the matter? He did something today that he never did before. So he asked him and he said: `Yes, I was shown what is to come of this world and the Hereafter. The earlier and later generations were gathered in one place and the people got terrified because of that. They went to Adam when the sweat was about to reach their mouths, and they said: O Adam, you are the father of mankind and Allah, may He be glorified and exalted, chose you. Intercede for us with your Lord, He said: I am in the same position as you. Go to your father after your father, to Nooh, “Allah chose Adam, Nooh (Noah), the family of Ibraheem (Abraham) and the family of 'Imran above the 'Alameen (mankind and jinn) (of their times)` (Al 'Imran 3:33}.

Then they will go to Nooh and will say: Intercede with your Lord for us, for Allah chose you and answered your supplication, and He did not leave one of the disbelievers on the Earth (cf. 71:26). He will say: I am not the one you want; go to Ibraheem for Allah, may He be glorified and exalted, took him as a close friend (khaleel). So they will go to Ibraheem but he will say: I am not the one you want; go to Moosa, for Allah, may He be glorified and exalted, spoke directly to him (cf. 4:164). But Moosa will say: I am not the one you want; go to 'Eesa Ibn Maryam, for he healed those born blind and the lepers, and he brought forth the dead. But 'Eesa will say: I am not the one you want; go to the leader of the sons of Adam, for he is the first one for whom the earth is split on the Day of Resurrection. Go to Muhammad, for he will intercede for you with your Lord, may He be glorified and exalted. Then (the Prophet) will go and Jibreel will come to his Lord and Allah, may He be glorified and exalted, will say: Give him permission and give him the glad tidings of Paradise. Jibreel will take him and he will fall down in prostration for a week. Allah, may He be glorified and exalted, will say: Raise your head, O Muhammad; speak and you will be heard, intercede and your intercession will be accepted. So he will raise his head, and when he looks at his Lord, may He be glorified and exalted, he will fall down in prostration for another week. Allah, may He be glorified and exalted, will say: Raise your head, O Muhammad; speak and you will be heard, intercede and your intersession will be accepted. He will start to fall down in prostration again, but Jibreel (peace be upon him) will take hold of his upper arms and Allah, may he be glorified and exalted, will inspire him to offer a supplication such as no human being was ever inspired with. He will say: `O Lord, You created me as the leader of the sons of Adam, and no boast; the first one for whom the earth is split on the Day of Resurrection, and no boast; there will come to my Cistern more people than there can be between San‘a’ and Allah (Eilat).` Then it will be said: Call the Siddeeq's so that they might intercede. Then it will be said: Call the Prophets. So one Prophet will come with a group, and another Prophet will come with five or six people, and another Prophet will come with nobody. Then it will be said: Call the martyrs so that they might intercede for whoever they want. When the martyrs do that, Allah, may He be glorified and exalted, will say: I am the Most Merciful of those who show mercy; I admit to My Paradise anyone who does not associate anything with Me.

So they will enter Paradise. Then Allah, may He be glorified and exalted, will say: Look in Hell; can you find anyone who ever did anything good? And they will find a man in Hell, and He will say to him: Did you ever do anything good? He will say: No, except that I was easy-going with people in buying and selling. And Allah, may He be glorified and exalted, will say: Be easy-going with My slave as he was easygoing with My slaves. Then they will bring a man out of Hell and He will say to him: Did you ever do anything good? He will say: No, except that l instructed my sons: When I die, burn me with fire, then grind me until I am like kohl powder. Then take me to the sea and scatter me in the wind, for by Allah the Lord of the Worlds will never be able to punish me. Allah, may He be glorified and exalted, will say: Why did you do that? He will say: For fear of You. And Allah, may He be glorified and exalted, will say: Look at the kingdom of the greatest king and you will have the like thereof and ten times as much. He will say: Are You making fun of me when You are the Sovereign? He (the Prophet (ﷺ) said: “That is what I was smiling at, at the time of the foremoon.`";Musnad Ahmad 15, Book 1, Hadith 15;question #1;What is the significance of intercession on the Day of Resurrection in Islamic belief?
Abu Bakr stood up and praised and glorified Allah, then he said: O people, you recite this verse: “O you who believe! Take care of your ownselves. If you follow the (right) guidance...” [al-Ma'idah 5:105], but you do not interpret it properly. I heard the Messenger of Allah (ﷺ) say: “If the people see evil and do not change it, soon Allah will send His punishment upon them all.` He (Qais] said: I heard Abu Bakr say: O people, beware of lying for lying is contrary to faith.;Musnad Ahmad 16, Book 1, Hadith 16;question #1;What is the consequence of not addressing evil when it is seen in society?
The Messenger of Allah (ﷺ) stood last year in this place where I am standing. Then Abu Bakr wept, then he said: “You must adhere to the truth, for with it comes righteousness and they both lead to Paradise. And you must beware of lying for with it comes immorality and they both lead to Hell. Ask Allah to keep you safe and sound, for no one is given anything, after certain faith (yaqeen) that is better than being kept safe and sound.` Then he said: “Do not sever ties with one another, do not turn your backs on one another, do not bear grudges against one another, do not envy one another, and be, O slaves of Allah, brothers.`;Musnad Ahmad 17, Book 1, Hadith 17;question #1;What are the consequences of adhering to truthfulness and righteousness in one's life?
"When the Messenger of Allah (ﷺ) died, Abu Bakr was in some other area of Madinah. He came and uncovered his face and kissed him, and said: May my father and mother be sacrificed for you; how good you look in life and in death. Muhammad (ﷺ) has died, by the Lord of the Ka'bah... Then Abu Bakr and ‘Umar came together to the people, Abu Bakr spoke and did not omit anything that was revealed concerning the Ansar or that the Messenger of Allah (ﷺ) had said concerning them but he mentioned it. And he said: You know that the Messenger of Allah (ﷺ) said: `If the people were to walk in one direction and the Ansar were to walk in another, I would walk in the direction of the Ansar.` I know, O Sa'd, that the Messenger of Allah (ﷺ) said, when you were sitting here: `Quraish are to be in charge of this affair (Islam), so the righteous people are but followers of the righteous of (Quraish), and the wrongdoers among the people are but followers of the wrongdoers of (Quraish).` Sa'd said to hümn: You have spoken the truth: we are advisers and you are leaders.";Musnad Ahmad 18, Book 1, Hadith 18;question #1;What was Abu Bakr's reaction upon seeing the Prophet Muhammad (ﷺ) after his passing?
I heard my father say that his father heard Abu Bakr saying: I said to the Messenger of Allah (ﷺ) : O Messenger of Allah, are we striving for something that has already been decided or is it something to be decided as events unfold? He said: `Rather it is for something that has already been decided.` I said: So why should we strive, O Messenger of Allah? He said: “Each person will be enabled to do that for which he has been created.`;Musnad Ahmad 19, Book 1, Hadith 19;question #1;What is the concept of predestination in Islam and how does it relate to human effort?
"A man among the Ansar who was a man of knowledge told me that he heard 'Uthman bin 'Affan (may Allah have mercy on him) narrate that some of the Companions of the Prophet (ﷺ), when the Prophet (ﷺ) died, grieved so much that some of thern were almost unaware of what was going on around them. 'Uthman said: I was one of them. Whilst I was sitting in the shade of a small fort, ‘Umar passed by me and greeted me, and I did not realise that he had passed me or greeted me, ‘Umar went to Abu Bakr and said to him: Do you think it is right that I passed by ‘Uthman and greeted him and he did not return my greeting? He and Abu Bakr came, when Abu Bakr had been appointed caliph and they both greeted me. Then Abu Bakr said: Your brother ‘Umar came to me and told me that he passed by you and greeted you but you did not return his greeting; what made you do that? I said: I did not do that. 'Umar said: Yes, by Allah, you did that, but you have too much pride, O Banu Umayyah. I said: By Allah, I did not realise that you had passed me or greeted me. Abu Bakr said: 'Uthman is telling the truth; is something bothering you? I said: Yes. He said: What is it? 'Uthman said: Allah, may He be glorifică and exalted, has caused His Prophet (ﷺ) to die before we could ask him how we can save ourselves, Abu Bakr said: I asked him about that. ('Uthman] said: I went to him and said: May my father and mother be sacrificed for you, you were more deserving to ask it. Abu Bakr said: I said:O Messenger of Allah, what is salvation? The Messenger of Allah (ﷺ) said: “Whoever accepts this word from me that I asked my uncle to say but he rejected it, it is salvation for him.`";Musnad Ahmad 20, Book 1, Hadith 20;question #1;What impact did the death of the Prophet Muhammad (ﷺ) have on his companions?
"Abu Bakr said, when he sent me to Syria: O Yazeed, you have relatives and you may give them precedence in allocating positions of authority; that is the most serious thing I fear for you, because the Messenger of Allah (ﷺ) said: `Whoever is appointed in charge of any affairs of the Muslims and appoints over them anyone by way of favouritism, the curse of Allah be upon him and Allah will not accept any obligatory or nafl prayer from him until he admits him to Hell. And whoever allows anyone to transgress the sacred limits set by Allah has transgressed the sacred limits of Allah unlawfully, and on him will be the curse of Allah and Allah will forsake him.`";Musnad Ahmad 21, Book 1, Hadith 21;question #1;What are the consequences of appointing individuals to positions of authority based on favoritism in Islam?
"The Messenger of Allah (ﷺ) said: `I have been granted seventy thousand who will enter Paradise without being brought to account; their faces will be like the moon on the night when it is full and their hearts will be as the heart of one man. I asked my Lord, may He glorified and exalted, for more and He gave me more, with each one another seventy thousand.` Abu Bakr as-Siddeeq said: I thought that that referred to the people living in towns and included some of those living on the edge of the wilderness";Musnad Ahmad 22, Book 1, Hadith 22;question #1;What is the significance of the number seventy thousand in the context of entering Paradise without being brought to account?
I heard Abu Bakr say: The Messenger of Allah (ﷺ) said: `Whoever does an evil deed will be requited for it in this world.`;Musnad Ahmad 23, Book 1, Hadith 23;question #1;What is the consequence of committing an evil deed according to Islamic teachings?
I was one of them... and he narrated a hadeeth similar to that of Abul Yaman from Shu'aib.;Musnad Ahmad 24, Book 1, Hadith 24;question #1;How did the Companions of the Prophet (ﷺ) react to his passing?
"The Messenger of Allah (ﷺ) said: “Our (Prophets') property is not to be inherited and whatever we leave behind is charity.` Fatimah got angry and kept away from Abu Bakr and she continued to do so until she died. Fatimah lived for six months after the Messenger of Allah (ﷺ), and she used to ask Abu Bakr for her share of that which the Messenger of Allah (ﷺ) had left behind of Khaibar and Fadak, and his charitable endowments in Madinah, but Abu Bakr refused to give her that. He said: I will not stop doing something that the Messenger of Allah (ﷺ) used to do; rather I will continue to do it. I am afraid that if I give up something that he did, I will go astray. As for his charitable endowment in Madinah, 'Umar gave it to 'Ali and 'Abbas, but ‘Ali took most of it. As for Khaibar and Fadak, 'Umar kept them and said: They are the charitable endowment of the Messenger of Allah (ﷺ) and were spent on his responsibilities and on emergencies. They were to be cared for by whoever became caliph, and this remains the case until today.";Musnad Ahmad 25, Book 1, Hadith 25;question #1;What is the Islamic ruling on the inheritance of prophets' property?
"A white man by whose face rain may be sought, a refuge for orphans and protection for widows.

Abu Bakr said: By Allah, that refers to the Messenger of Allah (ﷺ).";Musnad Ahmad 26, Book 1, Hadith 26;question #1;What qualities are highlighted in the description of a person who is a refuge for orphans and protection for widows?
My father told me that the Companions of the Prophet (ﷺ) did not know where to bury the Prophet (ﷺ) until Abu Bakr said: I heard the Messenger of Allah (ﷺ) say: `A Prophet is not to be buried except where he died.” So they removed his bed and dug a grave for him beneath;Musnad Ahmad 27, Book 1, Hadith 27;question #1;What guidance did Abu Bakr provide regarding the burial place of a Prophet?
Teach me a du'a` that I may say in my prayer. He said: `Say: O Allah. I have wronged myself greatly and no one forgives sins except You, so grant me forgiveness from You and have mercy on me, for You are the Oft-Forgiving, Most Merciful.`;Musnad Ahmad 28, Book 1, Hadith 28;question #1;What is the significance of seeking forgiveness in prayer according to Islamic teachings?
Abu Bakr stood up and praised and glorified Allah, then he said:O people, you recite this verse: `O you who believe! Take care of your ownselves...` (al-Ma’idah 5:105] until he reached the end of the verse. But if the people see an evildoer and do not stop him, soon Allah will send His punishment upon them all. But I heard the Messenger of Allah (ﷺ) say: “If the people...” And on another occasion he said: We heard the Messenger of Allah...;Musnad Ahmad 29, Book 1, Hadith 29;question #1;What is the significance of taking responsibility for one's own actions in Islam?
O people, you recite this verse: `O you who believe! Take care of your own selves. If you follow the (right) guidance [and enjoin what is right (Islamic Monotheism and all that Islam orders one to do) and forbid what is wrong (polytheism, disbelief and all that Islam has forbidden)] no hurt can come to you from those who are in error` [al-Ma’idah 5:105]. I heard the Messenger of Allah (ﷺ) say: “If the people see an evildoer and do not stop him, soon Allah will send His punishment upon them all.”;Musnad Ahmad 30, Book 1, Hadith 30;question #1;What is the responsibility of believers when they witness wrongdoing in their community?
Hammam told us: Farqad told us from Murrah at-Tayyib from Abu Bakr as-Siddeeq that the Prophet (ﷺ) said: `No one who mistreats his slaves will enter Paradise.”;Musnad Ahmad 31, Book 1, Hadith 31;question #1;What is the significance of treating slaves with kindness in Islam?
“No one will enter Paradise who is treacherous, miserly, reminds people of his favours or mistreats his slaves. The first to enter Paradise will be the slave, if he obeys Allah and obeys his master.`;Musnad Ahmad 32, Book 1, Hadith 32;question #1;What are the characteristics that prevent a person from entering Paradise?
We did not intend anything but good. Then he said: The Messenger of Allah (ﷺ) told us: `The Dajjal will emerge from a land in the East called Khurasan and he will be followed by people with faces like hammered shields.”;Musnad Ahmad 33, Book 1, Hadith 33;question #1;What is the significance of Khurasan in Islamic eschatology?
"I heard Sulaim bin 'Amir, a man from Homs who met the Companions of the Messenger of Allah (ﷺ), say - on one occasion he said: I heard Awsat al-Bajali narrate from Abu Bakr as-Siddeeq, he said: I heard him addressing the people - and on another occasion he said: when he was appointed as caliph - he said: The Messenger of Allah (ﷺ) stood last year where I am standing. Abu Bakr wept and said: “I ask Allah for pardon and well-being, for people are never given anything, after certainty of faith, that is better than well being. You should be truthful, for it leads to Paradise, and beware of lying, for it goes with immorality, and they lead to Hell. Do not sever ties with one another, do not hate one another, do not envy one another, do not turn your backs on one another; be brothers, as Allah, may He be glorified and exalted, has enjoined you.`";Musnad Ahmad 34, Book 1, Hadith 34;question #1;What is considered the best gift after certainty of faith according to Islamic teachings?
`Whoever would like to recite the Qur'an fresh as it was revealed, let him recite it according to the recitation of Ibn Umm 'Abd.`Umar bin al-Khattab narrated that the Prophet (ﷺ) said... a similar report, in which he said: crisp or fresh.;Musnad Ahmad 35, 36, Book 1, Hadith 35;question #1;What is the significance of reciting the Qur'an as it was originally revealed?
I wish that I had asked the Messenger of Allah (ﷺ) what would save us from what the Shaitan whispers into our hearts. Abu Bakr said: I asked him about that and he said: `What can save you from that is to say what I told my uncle to say but he did not say it.`;Musnad Ahmad 37, Book 1, Hadith 36;question #1;What is the significance of seeking guidance from the Prophet (ﷺ) regarding whispers from Shaitan?
The Messenger of Allah (ﷺ) said: `O people, the people are not given anything better in this world than certainty of faith and well-being, so ask Allah, may He be glorified and exalted, for them.`;Musnad Ahmad 38, Book 1, Hadith 37;question #1;What are the two greatest blessings mentioned that people can receive in this world?
